batch_id,leaf_task_id,content_id,unsupported_reason,position_in_batch
J1-A,W6-PAR-05J1,spell:animal_friendship,missing_runtime_mechanics,1
J1-A,W6-PAR-05J1,spell:animal_shapes,missing_runtime_mechanics,2
J1-A,W6-PAR-05J1,spell:animate_objects,missing_runtime_mechanics,3
J1-A,W6-PAR-05J1,spell:beast_bond,missing_runtime_mechanics,4
J1-A,W6-PAR-05J1,spell:command,missing_runtime_mechanics,5
J1-A,W6-PAR-05J1,spell:conjure_animals,missing_runtime_mechanics,6
J1-A,W6-PAR-05J1,spell:conjure_celestial,missing_runtime_mechanics,7
J1-A,W6-PAR-05J1,spell:conjure_elemental,missing_runtime_mechanics,8
J1-A,W6-PAR-05J1,spell:conjure_fey,missing_runtime_mechanics,9
J1-A,W6-PAR-05J1,spell:conjure_minor_elementals,missing_runtime_mechanics,10
J1-B,W6-PAR-05J1,spell:conjure_woodland_beings,missing_runtime_mechanics,1
J1-B,W6-PAR-05J1,spell:control_flames,missing_runtime_mechanics,2
J1-B,W6-PAR-05J1,spell:control_weather,missing_runtime_mechanics,3
J1-B,W6-PAR-05J1,spell:control_winds,missing_runtime_mechanics,4
J1-B,W6-PAR-05J1,spell:create_homunculus,missing_runtime_mechanics,5
J1-B,W6-PAR-05J1,spell:create_magen,missing_runtime_mechanics,6
J1-B,W6-PAR-05J1,spell:create_undead,missing_runtime_mechanics,7
J1-B,W6-PAR-05J1,spell:dominate_beast,missing_runtime_mechanics,8
J1-B,W6-PAR-05J1,spell:dominate_monster,missing_runtime_mechanics,9
J1-B,W6-PAR-05J1,spell:dominate_person,missing_runtime_mechanics,10
J1-C,W6-PAR-05J1,spell:enthrall,missing_runtime_mechanics,1
J1-C,W6-PAR-05J1,spell:find_familiar,missing_runtime_mechanics,2
J1-C,W6-PAR-05J1,spell:find_greater_steed,missing_runtime_mechanics,3
J1-C,W6-PAR-05J1,spell:geas,missing_runtime_mechanics,4
J1-C,W6-PAR-05J1,spell:instant_summons,missing_runtime_mechanics,5
J1-C,W6-PAR-05J1,spell:phantom_steed,missing_runtime_mechanics,6
J1-C,W6-PAR-05J1,spell:summon_aberration,missing_runtime_mechanics,7
J1-C,W6-PAR-05J1,spell:summon_beast,missing_runtime_mechanics,8
J1-C,W6-PAR-05J1,spell:summon_celestial,missing_runtime_mechanics,9
J1-C,W6-PAR-05J1,spell:summon_construct,missing_runtime_mechanics,10
J1-D,W6-PAR-05J1,spell:summon_draconic_spirit,missing_runtime_mechanics,1
J1-D,W6-PAR-05J1,spell:summon_dragon,missing_runtime_mechanics,2
J1-D,W6-PAR-05J1,spell:summon_elemental,missing_runtime_mechanics,3
J1-D,W6-PAR-05J1,spell:summon_fey,missing_runtime_mechanics,4
J1-D,W6-PAR-05J1,spell:summon_fiend,missing_runtime_mechanics,5
J1-D,W6-PAR-05J1,spell:summon_greater_demon,missing_runtime_mechanics,6
J1-D,W6-PAR-05J1,spell:summon_lesser_demons,missing_runtime_mechanics,7
J1-D,W6-PAR-05J1,spell:summon_shadowspawn,missing_runtime_mechanics,8
J1-D,W6-PAR-05J1,spell:summon_undead,missing_runtime_mechanics,9
J2-A,W6-PAR-05J2,spell:antimagic_field,missing_runtime_mechanics,1
J2-A,W6-PAR-05J2,spell:arcanist_s_magic_aura,missing_runtime_mechanics,2
J2-A,W6-PAR-05J2,spell:blade_barrier,missing_runtime_mechanics,3
J2-A,W6-PAR-05J2,spell:blight,missing_runtime_mechanics,4
J2-A,W6-PAR-05J2,spell:cloudkill,missing_runtime_mechanics,5
J2-A,W6-PAR-05J2,spell:continual_flame,missing_runtime_mechanics,6
J2-A,W6-PAR-05J2,spell:create_food_and_water,missing_runtime_mechanics,7
J2-A,W6-PAR-05J2,spell:create_or_destroy_water,missing_runtime_mechanics,8
J2-A,W6-PAR-05J2,spell:create_spelljamming_helm,missing_runtime_mechanics,9
J2-A,W6-PAR-05J2,spell:darkness,missing_runtime_mechanics,10
J2-B,W6-PAR-05J2,spell:daylight,missing_runtime_mechanics,1
J2-B,W6-PAR-05J2,spell:demiplane,missing_runtime_mechanics,2
J2-B,W6-PAR-05J2,spell:dream,missing_runtime_mechanics,3
J2-B,W6-PAR-05J2,spell:dream_of_the_blue_veil,missing_runtime_mechanics,4
J2-B,W6-PAR-05J2,spell:earthquake,missing_runtime_mechanics,5
